RMS,Kurtosis,Skewness,Peak,Variance,Mean_Abs,Peak_to_Peak,Crest_Factor,Shape_Factor,Impulse_Factor,Spectral_Centroid,Spectral_Spread,Dominant_Freq,Dominant_Mag,Set,Bearing,File_Index,File_Name,Timestamp,Label,Status,RMS_MA10,RMS_Trend,Kurtosis_MA10,Kurtosis_Trend,Peak_MA10,Peak_Trend
0.1246138190821948,1.0691627552880787,-0.0299927648006053,0.72,0.0065807926444911,0.10414384765625,1.108,5.7778503644534815,1.1965547834713253,6.913514491768353,4109.020484879307,2514.327032891656,0.0,1937.262,set1,1,0,2003.10.22.12.06.24,2003:10:22:12:06:24,0,Normal,0.1246138190821948,0.0,1.0691627552880787,0.0,0.72,0.0
0.1174931532662781,3.065883593095585,0.220115965079954,0.701,0.0049911628277182,0.1002497558593749,1.265,5.966305103849782,1.1720043830439977,6.992535732289716,4556.734108089059,3008.381237236211,0.0,1922.665,set1,2,0,2003.10.22.12.06.24,2003:10:22:12:06:24,0,Normal,0.1174931532662781,0.0,3.065883593095585,0.0,0.701,0.0
0.1304552822390205,0.2094859555668589,-0.0920732634396807,0.674,0.008217044258871,0.1071509765625,1.033,5.166521343038418,1.217490371288659,6.290189988206622,4497.843221338399,2842.37933012287,0.0,1921.362,set1,3,0,2003.10.22.12.06.24,2003:10:22:12:06:24,0,Normal,0.1304552822390205,0.0,0.2094859555668589,0.0,0.674,0.0
0.1216421134301999,0.2922212028583129,-0.0531826148412679,0.53,0.0060074574439978,0.102001806640625,0.786,4.3570436673161055,1.1925486168962875,5.195986399214551,4686.870158099861,3057.885839096996,0.0,1920.031,set1,4,0,2003.10.22.12.06.24,2003:10:22:12:06:24,0,Normal,0.1216421134301999,0.0,0.2922212028583129,0.0,0.53,0.0
0.12888705027471,0.4054385195773395,0.0343715748471523,0.496,0.0083650768611693,0.1061484863281249,0.896,3.848330758930591,1.2142146792022623,4.672699697919106,4689.277172754327,2726.5638399313666,0.0,1859.827,set1,5,0,2003.10.22.12.06.24,2003:10:22:12:06:24,0,Normal,0.12888705027471,0.0,0.4054385195773395,0.0,0.496,0.0
0.1318211210655727,0.7770628012971268,-0.0222233856581952,0.784,0.0091175217336058,0.1081516113281249,1.199,5.9474535921296665,1.2188548968136588,7.249082934339229,4957.149791831837,3033.88170844875,0.0,1861.235,set1,6,0,2003.10.22.12.06.24,2003:10:22:12:06:24,0,Normal,0.1318211210655727,0.0,0.7770628012971268,0.0,0.784,0.0
0.1090204897599529,0.7902499085116994,0.0466089563282283,0.413,0.0036101537109375,0.09480419921875,0.6619999999999999,3.788278707143632,1.1499542283818085,4.35634711756859,4339.343045732001,2788.7994776333708,0.0,1863.04,set1,7,0,2003.10.22.12.06.24,2003:10:22:12:06:24,0,Normal,0.1090204897599529,0.0,0.7902499085116994,0.0,0.413,0.0
0.1152674244979501,1.807990194192204,0.0082948014183332,0.471,0.0044063052742743,0.099515185546875,0.845,4.086150116144706,1.158289801345497,4.732946006297131,4595.367223771172,2867.957353234348,0.0,1929.937,set1,8,0,2003.10.22.12.06.24,2003:10:22:12:06:24,0,Normal,0.1152674244979501,0.0,1.807990194192204,0.0,0.471,0.0
0.1238111958064829,1.1615516080690735,-0.0700749260277674,0.654,0.0063227017508602,0.103651953125,1.042,5.282236357867046,1.1944897522304443,6.309577198331255,4114.450614493535,2532.1258409310967,0.0,1943.606,set1,1,1,2003.10.22.12.09.13,2003:10:22:12:09:13,0,Normal,0.1242125074443389,-0.0008026232757119,1.115357181678576,0.0923888527809948,0.687,-0.0659999999999999
0.1168325135844844,2.0010160038230644,0.1264982589631172,0.581,0.0048342950772762,0.0998528320312499,1.072,4.9729307551006725,1.1700470703517003,5.818563061067411,4499.19959520938,2990.641240143544,0.0,1922.89,set1,2,1,2003.10.22.12.09.13,2003:10:22:12:09:13,0,Normal,0.1171628334253813,-0.0006606396817936,2.533449798459325,-1.064867589272521,0.641,-0.12
0.1314899076004742,0.229383937738083,-0.1014405331008613,0.645,0.0081465010443115,0.10818994140625,0.936,4.905319440635715,1.2153616675577403,5.961737215274424,4485.802787135141,2837.782083687572,0.0,1958.288,set1,3,1,2003.10.22.12.09.13,2003:10:22:12:09:13,0,Normal,0.1309725949197473,0.0010346253614537,0.2194349466524709,0.0198979821712241,0.6595,-0.029
0.1221817557792999,0.2916453612420486,-0.0329867934148621,0.625,0.0058888844173336,0.10292197265625,0.867,5.115329993529914,1.187129945394419,6.072561415893601,4669.2686502814495,3047.1711484233647,0.0,1947.162,set1,4,1,2003.10.22.12.09.13,2003:10:22:12:09:13,0,Normal,0.1219119346047499,0.0005396423491,0.2919332820501807,-0.0005758416162642,0.5775,0.0949999999999999
0.1295620869506199,0.4457176371791842,0.0010971366195919,0.566,0.0084147813331508,0.1066597656249999,1.059,4.368561925185103,1.214723154428645,5.306593322077722,4682.371193173709,2721.448155787873,0.0,1873.842,set1,5,1,2003.10.22.12.09.13,2003:10:22:12:09:13,0,Normal,0.1292245686126649,0.0006750366759099,0.4255780783782619,0.0402791176018446,0.5309999999999999,0.0699999999999999
0.1320490204387299,0.6822767226064128,-0.028821652151517,0.576,0.0089082319081282,0.1084532714843749,0.993,4.362016454845728,1.217566041405717,5.311043107473113,4942.391281432602,3033.350450715222,0.0,1891.349,set1,6,1,2003.10.22.12.09.13,2003:10:22:12:09:13,0,Normal,0.1319350707521513,0.0002278993731572,0.7296697619517698,-0.0947860786907139,0.6799999999999999,-0.208
0.1088995061577703,1.234702629642218,0.0851639410922106,0.42,0.0035307219710922,0.09507021484375,0.796,3.8567668010497376,1.1454639745660515,4.417787428904829,4334.0234442823785,2797.8355959006262,0.0,1869.004,set1,7,1,2003.10.22.12.09.13,2003:10:22:12:09:13,0,Normal,0.1089599979588616,-0.0001209836021826,1.0124762690769586,0.4444527211305185,0.4165,0.007
